,Sex,LSM (mm),Diameter (mm),Height (mm),Weight_of_Abalone (grams),Weight_Of_Meat (mm),Gut_Weight_After_Bleeding (grams),Shell_Weight (grams),Rings
1130,2,0.565,0.455,0.15,0.9595,0.4565,0.2395,0.23,9.0
3880,1,0.38,0.3,0.1,0.28600000000000003,0.1305,0.055999999999999994,0.09,7.0
1189,2,0.69,0.53,0.21,1.5830000000000002,0.7355,0.405,0.3865,12.0
1803,0,0.615,0.455,0.145,1.1155,0.5045,0.23800000000000002,0.315,10.0
796,2,0.53,0.41,0.155,0.7155,0.2805,0.1685,0.214,11.0
3045,0,0.58,0.435,0.155,0.8785,0.425,0.1685,0.2425,10.0
511,0,0.455,0.35,0.14,0.5185,0.221,0.1265,0.135,10.0
2274,2,0.695,0.57,0.2,2.033,0.7509999999999999,0.4255,0.685,15.0
4161,0,0.585,0.455,0.17,0.9945,0.4255,0.263,0.2845,11.0
1160,0,0.605,0.475,0.165,1.056,0.433,0.2195,0.35700000000000004,9.0
2840,2,0.59,0.485,0.155,1.0785,0.4535,0.2435,0.31,9.0
1293,1,0.52,0.4,0.13,0.5825,0.233,0.1365,0.18,10.0
3964,1,0.27,0.19,0.06,0.099,0.0445,0.017,0.03,5.0
3145,2,0.55,0.42,0.17,0.8465,0.336,0.2405,0.245,13.0
2491,0,0.515,0.395,0.165,0.7565,0.1905,0.17,0.3205,10.0
2282,0,0.495,0.385,0.13,0.6905,0.3125,0.179,0.175,10.0
3668,0,0.585,0.465,0.145,0.9855,0.4325,0.2145,0.2845,10.0
2616,0,0.65,0.5,0.185,1.4415,0.741,0.2955,0.341,9.0
1510,0,0.65,0.545,0.175,1.5245,0.59,0.326,0.495,10.0
3148,0,0.71,0.53,0.195,1.8745,0.6755,0.4065,0.6855,12.0
756,2,0.615,0.525,0.155,1.1375,0.36700000000000005,0.23600000000000002,0.37,20.0
2436,2,0.515,0.4,0.16,0.8175,0.2515,0.156,0.3,23.0
627,0,0.38,0.305,0.095,0.2815,0.1255,0.0525,0.09,8.0
2383,0,0.525,0.39,0.135,0.6005,0.2265,0.131,0.21,16.0
412,0,0.58,0.46,0.12,0.9935,0.4625,0.2385,0.28,11.0
3920,2,0.295,0.23,0.085,0.125,0.042,0.0285,0.043,8.0
3643,1,0.47,0.345,0.12,0.3685,0.1525,0.0615,0.125,8.0
2313,2,0.595,0.47,0.145,0.991,0.4035,0.1505,0.34,16.0
2385,0,0.45,0.345,0.115,0.496,0.1905,0.11699999999999999,0.14,12.0
1165,0,0.615,0.465,0.15,0.9229999999999999,0.4615,0.1825,0.2415,9.0
2314,0,0.58,0.475,0.135,0.925,0.391,0.165,0.275,14.0
3179,1,0.27,0.195,0.07,0.102,0.045,0.0135,0.034,8.0
2237,2,0.585,0.465,0.19,1.171,0.3905,0.2355,0.4,17.0
328,2,0.36,0.295,0.105,0.24100000000000002,0.0865,0.053,0.095,8.0
